"","iso_country","day","capacity","country","population"
"1","AT",2020-02-14,164,"Austria","8859000"
"2","AT",2020-02-16,164,"Austria","8859000"
"3","AT",2020-02-19,164,"Austria","8859000"
"4","AT",2020-02-21,164,"Austria","8859000"
"5","AT",2020-02-23,164,"Austria","8859000"
"6","AT",2020-02-24,164,"Austria","8859000"
"7","AT",2020-02-25,164,"Austria","8859000"
"8","AT",2020-02-26,164,"Austria","8859000"
"9","AT",2020-02-28,164,"Austria","8859000"
"10","AT",2020-03-01,164,"Austria","8859000"
"11","AT",2020-03-03,164,"Austria","8859000"
"12","AT",2020-03-04,312,"Austria","8859000"
"13","AT",2020-03-05,164,"Austria","8859000"
"14","AT",2020-03-07,164,"Austria","8859000"
"15","AT",2020-03-09,164,"Austria","8859000"
"16","AT",2020-03-10,164,"Austria","8859000"
"17","AT",2020-03-12,164,"Austria","8859000"
"18","AT",2020-03-13,164,"Austria","8859000"
"19","AT",2020-03-14,164,"Austria","8859000"
"20","AT",2020-03-15,164,"Austria","8859000"
"21","AT",2020-03-16,164,"Austria","8859000"
"22","AT",2020-03-18,164,"Austria","8859000"
"23","AT",2020-03-19,164,"Austria","8859000"
"24","AT",2020-03-20,164,"Austria","8859000"
"25","AT",2020-03-21,164,"Austria","8859000"
"26","AT",2020-03-22,164,"Austria","8859000"
"27","AT",2020-03-23,164,"Austria","8859000"
"28","AT",2020-03-24,164,"Austria","8859000"
"29","AT",2020-03-25,164,"Austria","8859000"
"30","AT",2020-03-26,164,"Austria","8859000"
"31","AT",2020-03-27,164,"Austria","8859000"
"32","AT",2020-03-28,164,"Austria","8859000"
"33","BE",2020-02-01,420,"Belgium","11460000"
"34","BE",2020-02-02,164,"Belgium","11460000"
"35","BE",2020-02-03,381,"Belgium","11460000"
"36","BE",2020-02-05,420,"Belgium","11460000"
"37","BE",2020-02-07,164,"Belgium","11460000"
"38","BE",2020-02-08,420,"Belgium","11460000"
"39","BE",2020-02-09,164,"Belgium","11460000"
"40","BE",2020-02-10,400,"Belgium","11460000"
"41","BE",2020-02-12,381,"Belgium","11460000"
"42","BE",2020-02-14,164,"Belgium","11460000"
"43","BE",2020-02-15,400,"Belgium","11460000"
"44","BE",2020-02-16,164,"Belgium","11460000"
"45","BE",2020-02-17,400,"Belgium","11460000"
"46","BE",2020-02-19,400,"Belgium","11460000"
"47","BE",2020-02-21,164,"Belgium","11460000"
"48","BE",2020-02-22,420,"Belgium","11460000"
"49","BE",2020-02-23,164,"Belgium","11460000"
"50","BE",2020-02-24,400,"Belgium","11460000"
"51","BE",2020-02-26,400,"Belgium","11460000"
"52","BE",2020-02-27,148,"Belgium","11460000"
"53","BE",2020-02-28,164,"Belgium","11460000"
"54","BE",2020-02-29,451,"Belgium","11460000"
"55","BE",2020-03-02,451,"Belgium","11460000"
"56","BE",2020-03-04,420,"Belgium","11460000"
"57","BE",2020-03-07,400,"Belgium","11460000"
"58","BE",2020-03-09,400,"Belgium","11460000"
"59","BE",2020-03-11,400,"Belgium","11460000"
"60","BE",2020-03-14,420,"Belgium","11460000"
"61","BE",2020-03-16,400,"Belgium","11460000"
"62","BE",2020-04-15,189,"Belgium","11460000"
"63","CH",2020-02-01,462,"Switzerland","8570000"
"64","CH",2020-02-02,328,"Switzerland","8570000"
"65","CH",2020-02-03,199,"Switzerland","8570000"
"66","CH",2020-02-05,160,"Switzerland","8570000"
"67","CH",2020-02-07,164,"Switzerland","8570000"
"68","CH",2020-02-08,328,"Switzerland","8570000"
"69","CH",2020-02-09,164,"Switzerland","8570000"
"70","CH",2020-02-10,398,"Switzerland","8570000"
"71","CH",2020-02-13,160,"Switzerland","8570000"
"72","CH",2020-02-14,363,"Switzerland","8570000"
"73","CH",2020-02-15,462,"Switzerland","8570000"
"74","CH",2020-02-16,328,"Switzerland","8570000"
"75","CH",2020-02-19,160,"Switzerland","8570000"
"76","CH",2020-02-20,160,"Switzerland","8570000"
"77","CH",2020-02-21,363,"Switzerland","8570000"
"78","CH",2020-02-22,497,"Switzerland","8570000"
"79","CH",2020-02-23,328,"Switzerland","8570000"
"80","CH",2020-02-24,328,"Switzerland","8570000"
"81","CH",2020-02-27,160,"Switzerland","8570000"
"82","CH",2020-02-28,297,"Switzerland","8570000"
"83","CH",2020-02-29,462,"Switzerland","8570000"
"84","CH",2020-03-01,324,"Switzerland","8570000"
"85","CH",2020-03-05,134,"Switzerland","8570000"
"86","CH",2020-03-06,164,"Switzerland","8570000"
"87","CH",2020-03-07,298,"Switzerland","8570000"
"88","CH",2020-03-08,324,"Switzerland","8570000"
"89","CH",2020-03-12,164,"Switzerland","8570000"
"90","CH",2020-03-13,363,"Switzerland","8570000"
"91","CH",2020-03-14,333,"Switzerland","8570000"
"92","CH",2020-03-15,324,"Switzerland","8570000"
"93","CH",2020-03-16,164,"Switzerland","8570000"
"94","CH",2020-03-19,133,"Switzerland","8570000"
"95","CH",2020-03-20,164,"Switzerland","8570000"
"96","CH",2020-03-27,160,"Switzerland","8570000"
"97","CZ",2020-02-02,164,"Czechia","10690000"
"98","CZ",2020-02-03,164,"Czechia","10690000"
"99","CZ",2020-02-07,164,"Czechia","10690000"
"100","CZ",2020-02-09,164,"Czechia","10690000"
"101","CZ",2020-02-10,164,"Czechia","10690000"
"102","CZ",2020-02-13,164,"Czechia","10690000"
"103","CZ",2020-02-14,164,"Czechia","10690000"
"104","CZ",2020-02-17,164,"Czechia","10690000"
"105","CZ",2020-02-21,164,"Czechia","10690000"
"106","CZ",2020-02-23,164,"Czechia","10690000"
"107","CZ",2020-02-24,164,"Czechia","10690000"
"108","CZ",2020-02-27,164,"Czechia","10690000"
"109","CZ",2020-02-28,164,"Czechia","10690000"
"110","CZ",2020-02-29,164,"Czechia","10690000"
"111","DE",2020-02-01,1054,"Germany","83020000"
"112","DE",2020-02-02,1695,"Germany","83020000"
"113","DE",2020-02-03,1796,"Germany","83020000"
"114","DE",2020-02-04,1443,"Germany","83020000"
"115","DE",2020-02-05,1627,"Germany","83020000"
"116","DE",2020-02-06,1635,"Germany","83020000"
"117","DE",2020-02-07,1855,"Germany","83020000"
"118","DE",2020-02-08,716,"Germany","83020000"
"119","DE",2020-02-09,1432,"Germany","83020000"
"120","DE",2020-02-10,1810,"Germany","83020000"
"121","DE",2020-02-11,1233,"Germany","83020000"
"122","DE",2020-02-12,1627,"Germany","83020000"
"123","DE",2020-02-13,1894,"Germany","83020000"
"124","DE",2020-02-14,1665,"Germany","83020000"
"125","DE",2020-02-15,1288,"Germany","83020000"
"126","DE",2020-02-16,1692,"Germany","83020000"
"127","DE",2020-02-17,1860,"Germany","83020000"
"128","DE",2020-02-18,1347,"Germany","83020000"
